Date,Last Price,Open Interest,SMAVG (15)
5/31/2016,49.69,36305,219240
4/29/2016,48.13,57248,233524
3/31/2016,39.6,51456,248627
2/29/2016,35.97,65649,262882
1/29/2016,34.74,33219,277990
12/31/2015,37.28,281369,294097
11/30/2015,44.61,389211,293322
10/30/2015,49.56,427576,282800
9/30/2015,48.37,225069,268658
8/31/2015,54.15,243880,272831
7/31/2015,52.21,311023,273663
6/30/2015,63.59,247869,268963
5/29/2015,65.56,250258,267209
4/30/2015,66.78,359672,265433
3/31/2015,55.11,308798,254622
2/27/2015,62.58,250556,251209
1/30/2015,52.99,283803,251981
12/31/2014,57.33,265279,249843
11/28/2014,70.15,292267,247249
10/31/2014,85.86,274820,243369
9/30/2014,94.67,269753,241105
8/29/2014,103.19,231380,240064
7/31/2014,106.02,215448,239686
6/30/2014,112.36,287663,243161
5/30/2014,109.41,256354,240029
4/30/2014,108.07,240526,241202
3/31/2014,107.76,221552,243359
2/28/2014,109.07,223625,246333
1/31/2014,106.4,197508,247323
12/31/2013,110.8,257607,249199
11/29/2013,109.69,262133,244765
10/31/2013,108.84,251730,241089
9/30/2013,108.37,226363,238601
8/30/2013,114.01,234075,237148
7/31/2013,107.7,240860,236735
6/28/2013,102.16,254137,237150
5/31/2013,100.39,225702,233102
4/30/2013,102.37,267580,232261
3/29/2013,110.02,240679,226343
2/28/2013,111.38,273950,220075
1/31/2013,115.55,272889,211840
12/31/2012,111.11,266159,205840
11/30/2012,111.23,238468,197393
10/31/2012,108.7,225650,190788
9/28/2012,112.39,191095,188023
8/31/2012,114.57,207003,184979
7/31/2012,104.92,214405,185595
6/29/2012,97.8,204566,185281
5/31/2012,101.87,227878,182996
4/30/2012,119.47,247088,180012
3/30/2012,122.88,193425,177117
2/29/2012,122.66,213084,178086
1/31/2012,110.98,178805,178356
12/30/2011,107.38,146666,181050
11/30/2011,110.52,150423,182709
10/31/2011,109.56,182890,186573
9/30/2011,102.76,139452,186999
8/31/2011,114.85,139394,189019
7/29/2011,116.74,184164,193179
6/30/2011,112.48,145441,195727
5/31/2011,116.73,216239,199292
4/29/2011,125.89,209700,196800
3/31/2011,117.36,170297,194657
2/28/2011,111.8,183106,195846
1/31/2011,101.01,203670,195120
12/31/2010,94.75,207964,195506
11/30/2010,85.92,217125,190270
10/29/2010,83.15,219218,185433
9/30/2010,82.31,171546,178675
8/31/2010,74.64,208390,176669
7/30/2010,78.18,189276,173088
6/30/2010,75.01,169761,169254
5/31/2010,74.65,201782,166039
4/30/2010,87.44,222384,161789
3/31/2010,82.7,198915,154603
2/26/2010,77.59,178864,148632
1/29/2010,71.46,177555,142739
12/31/2009,77.93,188136,137754
11/30/2009,78.47,172219,129641
10/30/2009,75.2,209457,124261
9/30/2009,69.07,129428,115581
8/31/2009,69.65,144569,112163
7/31/2009,71.7,117839,108368
6/30/2009,69.3,141458,108775
5/29/2009,65.52,154670,107181
4/30/2009,50.8,131773,103961
3/31/2009,49.23,121543,101474
2/27/2009,46.35,138023,100620
1/30/2009,45.88,114600,97417
12/31/2008,45.59,109349,98990
11/28/2008,53.49,90463,98899
10/31/2008,65.32,102776,99119
9/30/2008,98.17,66447,99781
8/29/2008,114.05,91514,102418
7/31/2008,123.98,79265,104461
6/30/2008,139.83,78149,107833
5/30/2008,127.78,87649,108262
4/30/2008,111.36,123951,109191
3/31/2008,100.3,117537,108679
2/29/2008,100.1,106371,108577
1/31/2008,92.21,94478,108886
12/31/2007,93.85,108735,110424
11/30/2007,88.26,89970,108989
10/31/2007,90.63,138197,108224
9/28/2007,79.17,107977,104910
8/31/2007,72.69,93765,102714
7/31/2007,77.05,112716,102940
6/29/2007,71.41,105994,103450
5/31/2007,68.04,122165,101885
4/30/2007,67.65,129845,99413
3/30/2007,68.1,84582,95807
2/28/2007,61.89,101580,95435
1/31/2007,57.4,116277,94508
12/29/2006,60.86,116004,91076
11/30/2006,64.26,111005,87816
10/31/2006,59.03,117551,86019
9/29/2006,62.48,87214,82993
8/31/2006,70.25,78487,82347
