2/1/2020,0.8854,0.3056,0.1899,1.4494,0.1709,0.01857,0.000097,0.01207,,0.07049,0.8489,0.1429,0.3917,0.0207,0.3542,0.9558,0.08839,0.001111,0.1371,1.361,0.04402,,0.2189,1.721,1.3286,
3/1/2020,0.8671,0.2858,0.1987,1.5417,0.1796,0.01871,0.000092,0.01296,,0.06263,0.844,0.1367,0.3996,0.01875,0.3716,0.9845,0.08377,0.001145,0.1419,1.4555,0.04628,,0.2199,1.7239,1.3953,
4/1/2020,0.8865,0.2641,0.1987,1.5276,0.1814,0.01845,0.000089,0.01305,,0.05803,0.8447,0.1348,0.4138,0.01871,0.3739,0.9874,0.07567,0.001149,0.1403,1.4484,0.04673,,0.2048,1.7453,1.4058,
5/1/2020,0.9105,0.2484,0.1966,1.5236,0.1802,0.01846,0.000094,0.01303,,0.05958,0.8509,0.1385,0.4086,0.0192,0.3719,0.9851,0.07703,0.001137,0.1437,1.4411,0.04665,,0.2016,1.7188,1.397,
6/1/2020,0.9348,0.2615,0.1913,1.5257,0.1748,0.0179,0.000096,0.01259,,0.06079,0.8735,0.1422,0.3902,0.01955,0.3611,0.9723,0.07912,0.001122,0.1456,1.424,0.04569,,0.1987,1.6969,1.355,
7/1/2020,0.9502,0.2559,0.1927,1.5499,0.1742,0.01802,0.000093,0.01265,,0.06031,0.8901,0.1455,0.384,0.01886,0.3599,0.9733,0.08062,0.001126,0.1498,1.4466,0.04588,,0.1962,1.7135,1.3499,
8/1/2020,0.9527,0.2419,0.1909,1.5646,0.1706,0.01774,0.00009,0.01247,,0.05961,0.8725,0.148,0.3709,0.01791,0.3525,0.9659,0.0767,0.001115,0.1518,1.4534,0.04499,,0.1813,1.7374,1.3222,
9/1/2020,0.9558,0.2451,0.1942,1.5591,0.1707,0.01799,0.000089,0.01253,,0.06111,0.8816,0.1445,0.3722,0.01739,0.3527,0.9684,0.07906,0.001124,0.1495,1.4457,0.04529,,0.175,1.7126,1.3228,
10/1/2020,0.9413,0.235,0.1965,1.5553,0.1705,0.01796,0.00009,0.01256,,0.06212,0.8772,0.1422,0.3675,0.01702,0.3523,0.9719,0.08038,0.001155,0.1496,1.4484,0.04603,,0.1661,1.715,1.3215,
11/1/2020,0.9512,0.2405,0.1979,1.5471,0.1686,0.01761,0.000092,0.01252,,0.06403,0.8977,0.144,0.3623,0.01701,0.3484,0.9703,0.08417,0.001172,0.1512,1.4351,0.04579,,0.1641,1.7262,1.3068,
