STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DAY,MONTH,YEAR,DATE,TMAX,TMIN,Source: https://www.ncdc.noaa.gov/cdo-web/search
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,4,8,1916,8/4/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,5,8,1916,8/5/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,6,8,1916,8/6/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,7,8,1916,8/7/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,8,8,1916,8/8/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,9,8,1916,8/9/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,10,8,1916,8/10/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,11,8,1916,8/11/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,12,8,1916,8/12/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,13,8,1916,8/13/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,14,8,1916,8/14/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,15,8,1916,8/15/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,16,8,1916,8/16/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,17,8,1916,8/17/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,18,8,1916,8/18/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,19,8,1916,8/19/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,20,8,1916,8/20/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,21,8,1916,8/21/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,22,8,1916,8/22/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,23,8,1916,8/23/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,24,8,1916,8/24/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,25,8,1916,8/25/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,26,8,1916,8/26/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,27,8,1916,8/27/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,28,8,1916,8/28/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,29,8,1916,8/29/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,30,8,1916,8/30/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,31,8,1916,8/31/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,1,9,1916,9/1/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,2,9,1916,9/2/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,3,9,1916,9/3/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,4,9,1916,9/4/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,5,9,1916,9/5/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,6,9,1916,9/6/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,7,9,1916,9/7/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,8,9,1916,9/8/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,9,9,1916,9/9/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,10,9,1916,9/10/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,11,9,1916,9/11/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,12,9,1916,9/12/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,13,9,1916,9/13/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,14,9,1916,9/14/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,15,9,1916,9/15/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,16,9,1916,9/16/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,17,9,1916,9/17/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,18,9,1916,9/18/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,19,9,1916,9/19/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,20,9,1916,9/20/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,21,9,1916,9/21/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,22,9,1916,9/22/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,23,9,1916,9/23/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,24,9,1916,9/24/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,25,9,1916,9/25/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,26,9,1916,9/26/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,27,9,1916,9/27/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,28,9,1916,9/28/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,29,9,1916,9/29/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,30,9,1916,9/30/1916,,,
USC00104120,"HAWLEY GULCH RANGER STATION, ID US",43.65,-111.566667,1889.8,1,10,1916,10/1/1916,,,
