year,mo,region,extent,area
2013,7,      S,16.81,13.73
2013,8,      S,18.66,15.13
2013,9,      S,19.39,15.28
2013,10,      S,19.02,15.13
2013,11,      S,16.87,12.77
2013,12,      S,11.85,8.34
2014,1,      S,6.33,4.38
2014,2,      S,3.84,2.65
2014,3,      S,4.9,3.32
2014,4,      S,8.34,6.41
2014,5,      S,11.52,9.03
2014,6,      S,14.69,12.06
2014,7,      S,17.11,13.95
2014,8,      S,18.91,15.1
2014,9,      S,19.76,15.75
2014,10,      S,19,14.83
2014,11,      S,16.39,12.26
2014,12,      S,11.93,8.21
2015,1,      S,6.85,4.34
2015,2,      S,3.8,2.54
2015,3,      S,4.96,3.45
2015,4,      S,8.37,6.37
2015,5,      S,11.72,9.21
2015,6,      S,14.47,11.48
2015,7,      S,16.78,13.45
2015,8,      S,17.75,14.02
2015,9,      S,18.44,14.45
2015,10,      S,18.41,14.36
2015,11,      S,16.18,11.9
2015,12,      S,10.66,7.09
2016,1,      S,4.69,3.03
2016,2,      S,2.79,1.86
2016,3,      S,4.07,2.77
2016,4,      S,7.22,5.38
2016,5,      S,10.1,7.91
2016,6,      S,13.24,10.61
2016,7,      S,16.02,12.55
2016,8,      S,17.89,13.98
2016,9,      S,18.15,13.86
2016,10,      S,17.46,12.94
2016,11,      S,14.22,9.84
2016,12,      S,8.28,5.51
2017,1,      S,3.78,2.56
2017,2,      S,2.29,1.64
2017,3,      S,2.7,1.83
2017,4,      S,5.44,3.93
2017,5,      S,9.01,6.83
2017,6,      S,12.41,9.8
2017,7,      S,15.3,12.28
2017,8,      S,17.22,13.62
2017,9,      S,17.91,13.92
2017,10,      S,17.78,13.45
2017,11,      S,15.11,10.91
2017,12,      S,9.48,6.23
2018,1,      S,4.21,2.69
2018,2,      S,2.33,1.63
2018,3,      S,3.54,2.31
2018,4,      S,6.03,4.15
2018,5,      S,9.32,7.15
2018,6,      S,12.89,10.23
2018,7,      S,15.7,12.49
2018,8,      S,17.42,14.01
2018,9,      S,17.96,14.2
2018,10,      S,17.73,13.99
2018,11,      S,15.1,10.75
2018,12,      S,9.19,5.59
2019,1,      S,3.87,2.66
2019,2,      S,2.65,1.81
2019,3,      S,3.17,2.1
2019,4,      S,5.72,4.18
2019,5,      S,8.85,6.84
2019,6,      S,12.25,9.75
2019,7,      S,15.3,12.33
2019,8,      S,17.48,13.99
2019,9,      S,18.33,14.6
2019,10,      S,17.94,13.9
2019,11,      S,14.99,11.19
2019,12,      S,9.41,6.59
2020,1,      S,4.6,3.09
2020,2,      S,2.92,1.83
2020,3,      S,4,2.59
2020,4,      S,6.66,4.81
2020,5,      S,9.87,7.61
2020,6,      S,13.27,10.59
2020,7,      S,15.72,12.58
2020,8,      S,17.76,14.42
2020,9,      S,18.84,15.09
2020,10,      S,18.49,14.6
2020,11,      S,16.23,11.88
2020,12,      S,10.57,6.61
2021,1,      S,4.78,2.94
2021,2,      S,2.89,1.72
2021,3,      S,4.48,2.82
2021,4,      S,7.13,5.29
2021,5,      S,10.4,8.21
2021,6,      S,13.54,11.05
2021,7,      S,16.45,13.36
2021,8,      S,18.19,14.63
2021,9,      S,18.51,14.42
2021,10,      S,17.69,13.39
2021,11,      S,15.04,10.45
2021,12,      S,9.24,5.48
2022,1,      S,3.94,2.44
2022,2,      S,2.21,1.38
2022,3,      S,2.86,1.86
2022,4,      S,5.95,4.25
2022,5,      S,9.42,7.29
2022,6,      S,12.22,9.56
2022,7,      S,14.99,11.91
2022,8,      S,17.05,13.67
2022,9,      S,18.06,14.07
2022,10,      S,17.47,13.34
2022,11,      S,15.16,10.84
2022,12,      S,8.84,5.23
2023,1,      S,3.23,1.95
2023,2,      S,1.91,1.15
2023,3,      S,2.8,1.75
2023,4,      S,5.49,3.96
2023,5,      S,8.36,6.45
2023,6,      S,11.02,8.49
2023,7,      S,13.49,10.59
2023,8,      S,15.5,12.21
2023,9,      S,16.8,12.97
2023,10,      S,16.2,12.46
2023,11,      S,14.27,10.29
2023,12,      S,8.67,5.84
2024,1,      S,3.96,2.56
2024,2,      S,2.14,1.51
2024,3,      S,3.18,2.11
2024,4,      S,6.19,4.56
2024,5,      S,9.27,7.11
2024,6,      S,11.76,9.1
2024,7,      S,14.11,11.14
2024,8,      S,16.34,12.97
2024,9,      S,17.06,13.31
2024,10,      S,16.55,12.65
2024,11,      S,14.19,10.38
2024,12,      S,9.49,6.49
2025,1,      S,4.72,2.91
2025,2,      S,2.21,1.37
